En iyi Yoğunluk: -6.309495522803169, En iyi Doğruluk: 530.9495522803169
En iyi Yoğunluk: -1.2866576616685015, En iyi Doğruluk: 28.665766166850148
En iyi Yoğunluk: -0.08404817618154872, En iyi Doğruluk: 91.59518238184513
En iyi Yoğunluk: -0.01662472504139908, En iyi Doğruluk: 98.33752749586009
En iyi Yoğunluk: -0.01662472504139908, En iyi Doğruluk: 98.33752749586009
En iyi Yoğunluk: -0.003798482180847602, En iyi Doğruluk: 99.62015178191524
En iyi Yoğunluk: -0.003798482180847602, En iyi Doğruluk: 99.62015178191524
En iyi Yoğunluk: -0.003798482180847602, En iyi Doğruluk: 99.62015178191524
En iyi Yoğunluk: -0.003798482180847602, En iyi Doğruluk: 99.62015178191524
En iyi Yoğunluk: -0.0018465204044811163, En iyi Doğruluk: 99.81534795955189
En iyi Yoğunluk: -0.0018465204044811163, En iyi Doğruluk: 99.81534795955189
En iyi Yoğunluk: -0.0018465204044811163, En iyi Doğruluk: 99.81534795955189
En iyi Yoğunluk: -0.0018465204044811163, En iyi Doğruluk: 99.81534795955189
En iyi Yoğunluk: -0.0018465204044811163, En iyi Doğruluk: 99.81534795955189
En iyi Yoğunluk: -0.0018465204044811163, En iyi Doğruluk: 99.81534795955189
En iyi Yoğunluk: -0.0018465204044811163, En iyi Doğruluk: 99.81534795955189
En iyi Yoğunluk: -0.0018465204044811163, En iyi Doğruluk: 99.81534795955189
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.0015455122119405263, En iyi Doğruluk: 99.84544877880595
En iyi Yoğunluk: -0.000877088673284233, En iyi Doğruluk: 99.91229113267157
En iyi Yoğunluk: -0.000877088673284233, En iyi Doğruluk: 99.91229113267157
En iyi Yoğunluk: -0.000877088673284233, En iyi Doğruluk: 99.91229113267157
En iyi Yoğunluk: -0.000877088673284233, En iyi Doğruluk: 99.91229113267157
En iyi Yoğunluk: -0.000877088673284233, En iyi Doğruluk: 99.91229113267157
En iyi Yoğunluk: -0.000877088673284233, En iyi Doğruluk: 99.91229113267157
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
En iyi Yoğunluk: -0.00011226548151524805, En iyi Doğruluk: 99.98877345184847
